Ep,n,Season,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),Other MVC,Director 1,Director 2,Writer 1,Writer 2,Teleplay 1,Teleplay 2,Teleplay 3,Viewers
Emissary,1,1,9.5,YES,6,YES,Kira,Kira,7.75,7.5,,David Carson,,Rick Berman,Michael Piller,Michael Piller,,,18.8
Past Prologue,3,1,6,YES,5,NEUTRAL ,Kira,Kira,5.5,7.1,,Winrich Kolbe,,Kathryn Powers,,Kathryn Powers,,,13.4
A Man Alone,4,1,7,YES,6.5,YES,Bashir,Bashir,6.75,6.8,,Paul Lynch,,Gerald Sanford,Michael Piller,Michael Piller,,,13
Babel,5,1,6,YES,6,YES,Kira,Kira,6,7,,Paul Lynch,,Sally Caves,Ira Steven Behr,Michael McGreevey,Naren Shankar,,11.6
Captive Pursuit,6,1,7,YES,7.5,YES,O'Brien,O'Brien,7.25,7.6,,Corey Allen,,Jill Sherman Donner,,Jill Sherman Donner,Michael Piller,,12.9
Q Less,7,1,6,YES,3,NO,Dax,Dax,4.5,6.7,,Paul Lynch,,Hannah Louise Shearer,,Robert Hewitt Wolfe,,,12.8
Dax,8,1,6,YES,7,YES,Other,Odo,6.5,7.1,Anina,David Carson,,Peter Allan Fields,,D.C. Fontana,Peter Allan Fields,,12.1
Passenger,9,1,7,YES,4,YES,Dax,Dax,5.5,6.3,,Paul Lynch,,Morgan Gendel,,Morgan Gendel,Robert Hewitt Wolfe,Michael Piller,11.6
Move Along Home,10,1,1,YES,1,NO,Sisko,Jake,1,5.8,,David Carson,,Michael Piller,,Frederick Rappaport,Lisa Rich,Jeanne Carrigan-Fauci,11.4
The Nagus,11,1,6,YES,6,YES,Jake,Odo,6,7,,David Livingston,,David Livingston,,Ira Steven Behr,,,10.7
Vortex,12,1,7.5,YES,4.5,NEUTRAL ,Bashir,Bashir,6,7,,Winrich Kolbe,,Sam Rolfe,,Sam Rolfe,,,9.7
Battlelines,13,1,7.5,YES,7,YES,O'Brien,O'Brien,7.25,6.6,,Paul Lynch,,Hilary J. Bader,,Richard Danus,Evan Carlos Somers,,9.9
The Storyteller,14,1,2.5,NEUTRAL ,3.5,NEUTRAL,Nog,Nog,3,6,,David Livingston,,Kurt Michael Bensmiller,,Kurt Michael Bensmiller,Ira Steven Behr,,9.3
Progress,15,1,4,NO,3,NO,Kira,Kira,3.5,6.8,,Les Landau,,Peter Allan Fields,,,,,9.2
If Wishes Were Horses,16,1,4,NO,4,NO,Sisko,Sisko,4,6.4,,Robert Legato,,Nell McCue Crawford,William L. Crawford,Nell McCue Crawford,William L. Crawford,Michael Piller,9
The Forsaken,17,1,7,YES,4,NO,O'Brien,O'Brien,5.5,6.9,,Les Landau,,Jim Trombetta,,Don Carlos Dunaway,Michael Piller,,9.7
Dramatis Personae,18,1,,,,,,,0,7,,Cliff Bole,,Joe Menosky,,Joe Menosky,,,9
Duet,19,1,,,,,,,0,9,,James L.Conway,,Lisa Rich,Jeanne Carrigan-Fauci,Peter Allan Fields,,,8.9
In The Hands of the Prophets,20,1,,,,,,,0,7.7,,David Livingston,,Robert Hewitt Wolfe,,Robert Hewitt Wolfe,,,8.8
The Homecoming,1,2,,,,,,,,7.6,,,,,,,,,9.7
The Circle,2,2,,,,,,,,7.6,,,,,,,,,9
The Seige,3,2,,,,,,,,7.8,,,,,,,,,9
Invasive Procedures,4,2,,,,,,,,6.8,,,,,,,,,9.3
Cardassians,5,2,,,,,,,,7.5,,,,,,,,,9.1
Melora,6,2,,,,,,,,6.4,,,,,,,,,9.7
Rules of Acquisition,7,2,,,,,,,,7.4,,,,,,,,,8.8
Necessary Evil,8,2,,,,,,,,8.1,,,,,,,,,9.2
Second Sight,9,2,,,,,,,,6.2,,,,,,,,,9.4
Sanctuary,10,2,,,,,,,,6.4,,,,,,,,,8.9
Rivals,11,2,,,,,,,,6.4,,,,,,,,,9.3
The Alternate,12,2,,,,,,,,6.7,,,,,,,,,8.9
Armageddon Game,13,2,,,,,,,,7.4,,,,,,,,,8.6
Whispers,14,2,,,,,,,,8.1,,,,,,,,,9.3
Paradise,15,2,,,,,,,,6.6,,,,,,,,,8.2
Shadowplay,16,2,,,,,,,,7.3,,,,,,,,,9.5
Playing God,17,2,,,,,,,,6.4,,,,,,,,,8.8
Profit and Loss,18,2,,,,,,,,7.2,,,,,,,,,8.8
Blood Oath,19,2,,,,,,,,7.8,,,,,,,,,8.4
"The Maquis, Part 1",20,2,,,,,,,,7.8,,,,,,,,,8.6
"The Maquis, Part 2",21,2,,,,,,,,7.8,,,,,,,,,8.3
The Wire,22,2,,,,,,,,8.2,,,,,,,,,8
Crossover,23,2,,,,,,,,7.9,,,,,,,,,8.9
The Collaborator,24,2,,,,,,,,7,,,,,,,,,6.6
Tribunal,25,2,,,,,,,,7.5,,,,,,,,,7.7
The Jem'Hadar,26,2,,,,,,,,8.4,,,,,,,,,7.7
"The Search, Part 1",1,3,,,,,,,,8.3,,,,,,,,,
"The Search, Part 2",2,3,,,,,,,,8.2,,,,,,,,,
The House of Quark,3,3,,,,,,,,8,,,,,,,,,
Equilibrium,4,3,,,,,,,,6.7,,,,,,,,,
Second Skin,5,3,,,,,,,,7.9,,,,,,,,,
The Abandoned,6,3,,,,,,,,6.9,,,,,,,,,
Civil Defense,7,3,,,,,,,,7.9,,,,,,,,,
Meridian,8,3,,,,,,,,5.6,,,,,,,,,
Defiant,9,3,,,,,,,,7.9,,,,,,,,,
Fascination,10,3,,,,,,,,6.2,,,,,,,,,
"Past Tense, Part 1",11,3,,,,,,,,7.8,,,,,,,,,
"Past Tense, Part 2",12,3,,,,,,,,7.9,,,,,,,,,
Life Support,13,3,,,,,,,,6.6,,,,,,,,,
Heart of Stone,14,3,,,,,,,,7.3,,,,,,,,,
Destiny,15,3,,,,,,,,7.4,,,,,,,,,
Prophet Motive,16,3,,,,,,,,6.7,,,,,,,,,
Visionary,17,3,,,,,,,,7.8,,,,,,,,,
Distant Voices,18,3,,,,,,,,6.4,,,,,,,,,
Through The Looking Glass,19,3,,,,,,,,7.4,,,,,,,,,
Improbable Cause,20,3,,,,,,,,8.5,,,,,,,,,
The Die Is Cast,21,3,,,,,,,,8.9,,,,,,,,,
Explorers,22,3,,,,,,,,7.2,,,,,,,,,
Family Business,23,3,,,,,,,,7.2,,,,,,,,,
Shakaar,24,3,,,,,,,,6.9,,,,,,,,,
Facets,25,3,,,,,,,,7.1,,,,,,,,,
The Adversary,26,3,,,,,,,,8.2,,,,,,,,,
The Way of The Warrior,1,4,,,,,,,,9,,,,,,,,,
The Visitor,2,4,,,,,,,,9.1,,,,,,,,,
Hippocratic Oath,3,4,,,,,,,,7.6,,,,,,,,,
Indiscretion,4,4,,,,,,,,7.7,,,,,,,,,
Rejoined,5,4,,,,,,,,7,,,,,,,,,
Starship Down,6,4,,,,,,,,7.6,,,,,,,,,
Little Green Men,7,4,,,,,,,,8.4,,,,,,,,,
The Sword of Kahless,8,4,,,,,,,,7,,,,,,,,,
Our Man Bashir,9,4,,,,,,,,7.9,,,,,,,,,
Homefront,10,4,,,,,,,,8.2,,,,,,,,,
Paradise Lost,11,4,,,,,,,,8.3,,,,,,,,,
Crossfire,12,4,,,,,,,,7.1,,,,,,,,,
Return to Grace,13,4,,,,,,,,7.7,,,,,,,,,
Sons of Mogh,14,4,,,,,,,,7.2,,,,,,,,,
Bar Association,15,4,,,,,,,,7.4,,,,,,,,,
Accession,16,4,,,,,,,,7.1,,,,,,,,,
Rules of Engagement,17,4,,,,,,,,7.3,,,,,,,,,
Hard Time,18,4,,,,,,,,8.2,,,,,,,,,
Shattered Mirror,19,4,,,,,,,,7.1,,,,,,,,,
The Muse,20,4,,,,,,,,5.7,,,,,,,,,
For the Cause,21,4,,,,,,,,7.7,,,,,,,,,
To the Death,22,4,,,,,,,,8,,,,,,,,,
The Quickening,23,4,,,,,,,,7.6,,,,,,,,,
Body Parts,24,4,,,,,,,,7.4,,,,,,,,,
Broken Link,25,4,,,,,,,,8.2,,,,,,,,,
Apocalypse Rising,1,5,,,,,,,,8.2,,,,,,,,,
The Ship,2,5,,,,,,,,7.9,,,,,,,,,
Looking for Par'Mach,3,5,,,,,,,,7.6,,,,,,,,,
Nor the Battle to the Strong,4,5,,,,,,,,7.5,,,,,,,,,
The Assignment,5,5,,,,,,,,7.3,,,,,,,,,
Trials and Tribble-ations,6,5,,,,,,,,9.3,,,,,,,,,
Let He Who Is without sin...,7,5,,,,,,,,5.5,,,,,,,,,
Things Past,8,5,,,,,,,,7.4,,,,,,,,,
The Ascent,9,5,,,,,,,,7.4,,,,,,,,,
Rapture,10,5,,,,,,,,7.1,,,,,,,,,
The Darkness and the Light,11,5,,,,,,,,6.9,,,,,,,,,
The Begotten,12,5,,,,,,,,7.8,,,,,,,,,
For the Uniform,13,5,,,,,,,,7.8,,,,,,,,,
In Purgatory's Shadow,14,5,,,,,,,,8.7,,,,,,,,,
By Inferno's Light,15,5,,,,,,,,8.8,,,,,,,,,
"Doctor Bashir, I Presume",16,5,,,,,,,,7.7,,,,,,,,,
A Simple Investigation,17,5,,,,,,,,6.6,,,,,,,,,
Business as Usual,18,5,,,,,,,,7.2,,,,,,,,,
Ties of Blood and Water,19,5,,,,,,,,7.1,,,,,,,,,
Ferengi Love Songs,20,5,,,,,,,,6.7,,,,,,,,,
Soldiers of the Empire,21,5,,,,,,,,7.6,,,,,,,,,
Children of Time,22,5,,,,,,,,8,,,,,,,,,
Blaze of Glory,23,5,,,,,,,,7.5,,,,,,,,,
Empok Nor,24,5,,,,,,,,7.7,,,,,,,,,
In the Cards,25,5,,,,,,,,7.7,,,,,,,,,
Call to Arms,26,5,,,,,,,,9,,,,,,,,,
A Time To Stand,1,6,,,,,,,,8.5,,,,,,,,,
Rocks and Shoals,2,6,,,,,,,,8.5,,,,,,,,,
Sons and Daughters,3,6,,,,,,,,7,,,,,,,,,
Behind the Lines,4,6,,,,,,,,7.8,,,,,,,,,
Favor the Bold,5,6,,,,,,,,8.5,,,,,,,,,
Sacrifice of Angels,6,6,,,,,,,,9,,,,,,,,,
You Are Cordially Invited,7,6,,,,,,,,7.3,,,,,,,,,
Ressurection,8,6,,,,,,,,5.7,,,,,,,,,
Statistical Probabilities,9,6,,,,,,,,7.5,,,,,,,,,
The Magnificent Ferengi,10,6,,,,,,,,8.1,,,,,,,,,
Waltz,11,6,,,,,,,,7.8,,,,,,,,,
Who Mourns for Morn?,12,6,,,,,,,,7.6,,,,,,,,,
Far Beyond the Stars,13,6,,,,,,,,8.9,,,,,,,,,
One Little Ship,14,6,,,,,,,,7.6,,,,,,,,,
Honor Among Thieves,15,6,,,,,,,,7.3,,,,,,,,,
Change of Heart,16,6,,,,,,,,7.1,,,,,,,,,
Wrongs Darker than Death or Night,17,6,,,,,,,,6.7,,,,,,,,,
Inquisition,18,6,,,,,,,,8.2,,,,,,,,,
In The Pale Moonlight,19,6,,,,,,,,9.4,,,,,,,,,
His Way,20,6,,,,,,,,7.4,,,,,,,,,
The Reckoning,21,6,,,,,,,,7,,,,,,,,,
Valient,22,6,,,,,,,,6.9,,,,,,,,,
Profit and Lace,23,6,,,,,,,,5.8,,,,,,,,,
Time's Orphan,24,6,,,,,,,,6.2,,,,,,,,,
The Sound of Her Voice,25,6,,,,,,,,7.4,,,,,,,,,
Tears of the Prophets,26,6,,,,,,,,8.2,,,,,,,,,
Image in the Sand,1,7,,,,,,,,7.5,,,,,,,,,
Shadows and Symbols,2,7,,,,,,,,7.9,,,,,,,,,
Afterimage,3,7,,,,,,,,7.2,,,,,,,,,
Take Me out to the Holosuite,4,7,,,,,,,,7.4,,,,,,,,,
Chrysalis,5,7,,,,,,,,6.9,,,,,,,,,
"Treachery, Faith and the Great River",6,7,,,,,,,,8.2,,,,,,,,,
Once More Unto the Breach,7,7,,,,,,,,7.6,,,,,,,,,
The Seige of AR-558,8,7,,,,,,,,8.6,,,,,,,,,
Covenant,9,7,,,,,,,,6.6,,,,,,,,,
It's Only a Paper Moon,10,7,,,,,,,,8.2,,,,,,,,,
Prodigal Daughter,11,7,,,,,,,,6.3,,,,,,,,,
The Emporer's New Cloak,12,7,,,,,,,,6.3,,,,,,,,,
Field of Fire,13,7,,,,,,,,6.6,,,,,,,,,
Chimera,14,7,,,,,,,,7.2,,,,,,,,,
"Badda-Bing, Badda-Bing",15,7,,,,,,,,7.6,,,,,,,,,
Inter Arma Enim Silent Leges,16,7,,,,,,,,8.2,,,,,,,,,
Penumbra,17,7,,,,,,,,7.4,,,,,,,,,
Til Death Do Us Part,18,7,,,,,,,,7.4,,,,,,,,,
Strange Bedfellows,19,7,,,,,,,,7.8,,,,,,,,,
The Changing Face of Evil,20,7,,,,,,,,8.3,,,,,,,,,
When It Rains...,21,7,,,,,,,,8.1,,,,,,,,,
Tacking Into The Wind,22,7,,,,,,,,8.7,,,,,,,,,
Extreme Measures,23,7,,,,,,,,7.6,,,,,,,,,
The Dogs of War,24,7,,,,,,,,8.2,,,,,,,,,
What You Leave Behind,25,7,,,,,,,,8.9,,,,,,,,,